idx	label	predict	radius	correct	time
0	3	3	0.59	1	0:00:13.163102
20	7	7	0.305	1	0:00:12.453483
40	4	4	0.671	1	0:00:12.458402
60	7	7	1.28	1	0:00:12.453645
80	8	8	1.24	1	0:00:12.461513
100	4	5	0.318	0	0:00:12.468361
120	8	8	1.1	1	0:00:12.463378
140	6	6	0.399	1	0:00:12.459281
160	2	2	0.839	1	0:00:12.464341
180	0	0	1.83	1	0:00:12.465219
200	5	5	0.63	1	0:00:12.461900
220	7	7	1.84	1	0:00:12.464334
240	1	1	1.91	1	0:00:12.462245
260	8	8	0.223	1	0:00:12.468154
280	9	9	1.91	1	0:00:12.465053
300	6	6	0.968	1	0:00:12.464154
320	3	3	0.0534	1	0:00:12.460513
340	2	4	0.258	0	0:00:12.460747
360	9	9	0.533	1	0:00:12.463445
380	6	6	0.723	1	0:00:12.466144
400	9	9	1.59	1	0:00:12.468359
420	4	4	1.02	1	0:00:12.462875
440	1	1	1.01	1	0:00:12.466177
460	5	5	1.62	1	0:00:12.465190
480	8	9	0.696	0	0:00:12.466046
500	4	6	0.925	0	0:00:12.462107
520	5	5	0.503	1	0:00:12.468926
540	1	1	0.785	1	0:00:12.466975
560	0	0	1.91	1	0:00:12.466715
580	4	4	0.771	1	0:00:12.461824
600	8	8	0.941	1	0:00:12.462960
620	7	7	0.26	1	0:00:12.462436
640	5	3	1.6	0	0:00:12.465540
660	9	9	1.91	1	0:00:12.468323
680	9	-1	0.0	0	0:00:12.466392
700	7	7	1.57	1	0:00:12.468224
720	4	7	0.135	0	0:00:12.465486
740	2	5	0.512	0	0:00:12.465207
760	3	-1	0.0	0	0:00:12.463234
780	9	9	1.09	1	0:00:12.465869
800	7	7	1.91	1	0:00:12.461944
820	6	6	0.367	1	0:00:12.465236
840	7	7	1.91	1	0:00:12.466752
860	4	4	1.4	1	0:00:12.463703
880	8	8	1.87	1	0:00:12.464301
900	2	6	0.412	0	0:00:12.461455
920	6	6	0.321	1	0:00:12.462337
940	9	9	1.65	1	0:00:12.464400
960	9	9	1.28	1	0:00:12.461670
980	2	6	1.2	0	0:00:12.464081
1000	5	5	1.91	1	0:00:12.463641
1020	1	1	1.75	1	0:00:12.467766
1040	7	5	1.58	0	0:00:12.467148
1060	9	9	1.84	1	0:00:12.466452
1080	6	6	1.2	1	0:00:12.463045
1100	7	8	0.426	0	0:00:12.467431
1120	5	2	0.543	0	0:00:12.462117
1140	6	6	0.681	1	0:00:12.464382
1160	8	8	0.546	1	0:00:12.463343
1180	3	3	1.29	1	0:00:12.466738
1200	8	8	0.844	1	0:00:12.466357
1220	9	6	0.154	0	0:00:12.468572
1240	2	6	1.44	0	0:00:12.464264
1260	1	9	0.72	0	0:00:12.466561
1280	3	7	0.389	0	0:00:12.465077
1300	4	3	1.25	0	0:00:12.463172
1320	7	-1	0.0	0	0:00:12.464002
1340	1	1	1.87	1	0:00:12.468830
1360	7	7	1.08	1	0:00:12.463743
1380	4	5	1.62	0	0:00:12.463518
1400	5	5	0.0813	1	0:00:12.462326
1420	4	7	0.801	0	0:00:12.465436
1440	0	0	0.473	1	0:00:12.463357
1460	6	6	1.78	1	0:00:12.464388
1480	1	1	0.478	1	0:00:12.467402
1500	1	1	1.02	1	0:00:12.466081
1520	7	7	1.55	1	0:00:12.468463
