idx	label	predict	radius	correct	time
0	3	-1	0.0	0	0:00:13.265741
20	7	7	0.454	1	0:00:12.509104
40	4	-1	0.0	0	0:00:12.516295
60	7	7	1.27	1	0:00:12.525628
80	8	8	1.91	1	0:00:12.537434
100	4	5	0.605	0	0:00:12.550851
120	8	8	1.87	1	0:00:12.552967
140	6	6	0.164	1	0:00:12.566182
160	2	2	0.319	1	0:00:12.573812
180	0	0	1.91	1	0:00:12.577140
200	5	3	1.51	0	0:00:12.582471
220	7	7	1.91	1	0:00:12.587475
240	1	1	1.91	1	0:00:12.587214
260	8	-1	0.0	0	0:00:12.592442
280	9	9	1.91	1	0:00:12.589856
300	6	6	1.53	1	0:00:12.592386
320	3	5	1.32	0	0:00:12.595089
340	2	4	0.29	0	0:00:12.593840
360	9	9	0.115	1	0:00:12.598149
380	6	6	1.57	1	0:00:12.596117
400	9	9	1.23	1	0:00:12.601664
420	4	6	0.486	0	0:00:12.598958
440	1	1	1.56	1	0:00:12.600471
460	5	5	1.91	1	0:00:12.599960
480	8	9	1.11	0	0:00:12.597358
500	4	6	0.922	0	0:00:12.598155
520	5	5	0.798	1	0:00:12.598500
540	1	-1	0.0	0	0:00:12.593419
560	0	0	1.91	1	0:00:12.598539
580	4	6	1.35	0	0:00:12.600265
600	8	8	1.04	1	0:00:12.595403
620	7	-1	0.0	0	0:00:12.595194
640	5	3	1.23	0	0:00:12.595991
660	9	9	1.91	1	0:00:12.597182
680	9	9	0.933	1	0:00:12.598642
700	7	7	1.91	1	0:00:12.606535
720	4	9	0.0615	0	0:00:12.598617
740	2	5	1.57	0	0:00:12.601887
760	3	9	0.465	0	0:00:12.597481
780	9	9	0.65	1	0:00:12.607043
800	7	7	1.91	1	0:00:12.600099
820	6	9	0.558	0	0:00:12.602201
840	7	7	1.91	1	0:00:12.598860
860	4	4	0.424	1	0:00:12.598755
880	8	8	1.91	1	0:00:12.596332
900	2	6	1.19	0	0:00:12.598308
920	6	2	1.24	0	0:00:12.601213
940	9	9	1.34	1	0:00:12.599267
960	9	9	1.91	1	0:00:12.600999
980	2	6	1.91	0	0:00:12.600362
1000	5	5	1.91	1	0:00:12.604829
1020	1	1	1.6	1	0:00:12.603487
1040	7	5	1.91	0	0:00:12.600144
1060	9	9	1.84	1	0:00:12.606511
1080	6	6	1.91	1	0:00:12.602958
1100	7	8	1.8	0	0:00:12.607151
1120	5	2	0.832	0	0:00:12.604830
1140	6	6	1.27	1	0:00:12.603472
1160	8	8	0.213	1	0:00:12.602715
1180	3	9	0.0629	0	0:00:12.602751
1200	8	8	0.444	1	0:00:12.600620
1220	9	6	0.44	0	0:00:12.603363
1240	2	6	1.91	0	0:00:12.604432
1260	1	9	1.24	0	0:00:12.604534
1280	3	7	0.765	0	0:00:12.599280
1300	4	6	0.891	0	0:00:12.603550
1320	7	7	0.9	1	0:00:12.601409
1340	1	1	1.91	1	0:00:12.604824
1360	7	7	1.13	1	0:00:12.604079
1380	4	5	1.61	0	0:00:12.605751
1400	5	5	0.544	1	0:00:12.604183
1420	4	7	0.326	0	0:00:12.605156
1440	0	0	0.813	1	0:00:12.605713
1460	6	6	1.51	1	0:00:12.610683
1480	1	1	0.47	1	0:00:12.605948
1500	1	9	0.116	0	0:00:12.603427
1520	7	7	0.372	1	0:00:12.601974
1540	8	8	1.91	1	0:00:12.604671
1560	7	7	1.91	1	0:00:12.607399
1580	6	1	0.601	0	0:00:12.605951
1600	8	9	0.442	0	0:00:12.605208
1620	5	5	0.142	1	0:00:12.607175
1640	7	5	0.0501	0	0:00:12.612772
1660	3	5	0.675	0	0:00:12.605674
1680	6	6	1.91	1	0:00:12.604431
1700	5	2	1.37	0	0:00:12.605150
1720	4	2	0.377	0	0:00:12.606770
1740	1	9	0.565	0	0:00:12.609010
1760	0	8	1.46	0	0:00:12.602434
1780	7	-1	0.0	0	0:00:12.607188
1800	4	8	1.36	0	0:00:12.607487
1820	8	-1	0.0	0	0:00:12.605981
1840	8	-1	0.0	0	0:00:12.602756
1860	8	8	1.87	1	0:00:12.606727
1880	1	1	1.67	1	0:00:12.607255
1900	8	8	1.91	1	0:00:12.605059
1920	2	2	1.69	1	0:00:12.606036
1940	5	2	1.61	0	0:00:12.602054
1960	2	5	1.77	0	0:00:12.602628
1980	9	9	1.91	1	0:00:12.596044
2000	1	1	0.137	1	0:00:12.602176
2020	9	9	1.91	1	0:00:12.603252
2040	0	8	1.67	0	0:00:12.600826
2060	5	5	1.91	1	0:00:12.598585
2080	1	1	1.8	1	0:00:12.600721
2100	2	4	1.02	0	0:00:12.605000
2120	4	8	1.09	0	0:00:12.597114
2140	9	9	1.8	1	0:00:12.600451
2160	0	8	1.91	0	0:00:12.594554
2180	4	6	0.802	0	0:00:12.601000
2200	0	0	1.91	1	0:00:12.592971
2220	1	1	1.91	1	0:00:12.600153
2240	9	9	1.91	1	0:00:12.598390
2260	4	7	0.0114	0	0:00:12.604704
2280	4	8	1.01	0	0:00:12.596069
2300	3	6	1.7	0	0:00:12.602139
2320	5	3	0.345	0	0:00:12.602172
2340	7	7	1.91	1	0:00:12.594162
2360	7	7	1.6	1	0:00:12.600198
2380	8	8	1.91	1	0:00:12.593968
2400	0	0	1.91	1	0:00:12.595540
2420	8	8	0.19	1	0:00:12.597185
2440	7	7	0.694	1	0:00:12.600594
2460	9	9	1.33	1	0:00:12.597291
2480	8	8	1.83	1	0:00:12.592661
2500	4	6	0.248	0	0:00:12.596276
2520	1	1	0.113	1	0:00:12.596025
2540	2	3	0.732	0	0:00:12.592703
2560	7	7	0.577	1	0:00:12.595491
2580	6	6	0.806	1	0:00:12.601014
2600	8	8	1.91	1	0:00:12.600156
2620	1	1	0.435	1	0:00:12.597783
2640	7	7	1.91	1	0:00:12.599981
2660	3	2	0.421	0	0:00:12.597919
2680	0	0	1.91	1	0:00:12.600505
2700	9	9	0.465	1	0:00:12.603769
2720	3	-1	0.0	0	0:00:12.602888
2740	1	1	1.62	1	0:00:12.598229
2760	2	6	0.429	0	0:00:12.602790
2780	7	7	1.91	1	0:00:12.603695
2800	4	6	1.53	0	0:00:12.601082
2820	6	6	1.91	1	0:00:12.601990
2840	3	3	1.91	1	0:00:12.603947
2860	5	7	0.338	0	0:00:12.600640
2880	4	4	1.91	1	0:00:12.596846
2900	3	5	1.76	0	0:00:12.602018
2920	2	5	0.0325	0	0:00:12.603269
2940	3	0	0.0992	0	0:00:12.608824
2960	9	9	0.662	1	0:00:12.599223
2980	8	1	1.11	0	0:00:12.600934
3000	5	5	1.91	1	0:00:12.600235
3020	1	1	1.83	1	0:00:12.595417
3040	7	7	1.91	1	0:00:12.604170
3060	7	7	1.91	1	0:00:12.598721
3080	1	6	0.0341	0	0:00:12.599063
3100	0	0	1.91	1	0:00:12.592778
3120	4	6	1.91	0	0:00:12.597566
3140	8	8	1.8	1	0:00:12.597135
3160	6	4	1.71	0	0:00:12.598473
3180	3	9	0.465	0	0:00:12.600191
3200	5	7	1.29	0	0:00:12.601321
3220	3	9	0.466	0	0:00:12.598092
3240	4	-1	0.0	0	0:00:12.599416
3260	7	7	1.33	1	0:00:12.598660
3280	3	5	1.39	0	0:00:12.594971
3300	4	4	0.424	1	0:00:12.597117
3320	2	7	1.36	0	0:00:12.598175
